Evento,id_chamado,tipo,subtipo,id_bairro,situacao,tipo_situacao,status
Carnaval,18330619,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331095,Poluição sonora,Perturbação do sossego,125,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331193,Poluição sonora,Perturbação do sossego,17,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331281,Poluição sonora,Perturbação do sossego,139,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330571,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331158,Poluição sonora,Perturbação do sossego,20,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331117,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331227,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331162,Poluição sonora,Perturbação do sossego,24,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329840,Poluição sonora,Perturbação do sossego,65,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331261,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331168,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330160,Poluição sonora,Perturbação do sossego,5,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331291,Poluição sonora,Perturbação do sossego,161,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331283,Poluição sonora,Perturbação do sossego,89,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330645,Poluição sonora,Perturbação do sossego,124,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331204,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331102,Poluição sonora,Perturbação do sossego,90,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329819,Poluição sonora,Perturbação do sossego,15,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329670,Poluição sonora,Perturbação do sossego,5,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329637,Poluição sonora,Perturbação do sossego,20,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328035,Poluição sonora,Perturbação do sossego,20,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328697,Poluição sonora,Perturbação do sossego,16,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18327854,Poluição sonora,Perturbação do sossego,21,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328508,Poluição sonora,Perturbação do sossego,18,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328714,Poluição sonora,Perturbação do sossego,20,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328631,Poluição sonora,Perturbação do sossego,25,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18327812,Poluição sonora,Perturbação do sossego,26,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18327868,Poluição sonora,Perturbação do sossego,27,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18327981,Poluição sonora,Perturbação do sossego,33,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329632,Poluição sonora,Perturbação do sossego,24,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328550,Poluição sonora,Perturbação do sossego,24,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328809,Poluição sonora,Perturbação do sossego,24,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329578,Poluição sonora,Perturbação do sossego,64,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18327948,Poluição sonora,Perturbação do sossego,156,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329572,Poluição sonora,Perturbação do sossego,64,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329727,Poluição sonora,Perturbação do sossego,76,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329627,Poluição sonora,Perturbação do sossego,110,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329617,Poluição sonora,Perturbação do sossego,43,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329574,Poluição sonora,Perturbação do sossego,64,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329445,Poluição sonora,Perturbação do sossego,91,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329191,Poluição sonora,Perturbação do sossego,90,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329409,Poluição sonora,Perturbação do sossego,80,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329624,Poluição sonora,Perturbação do sossego,43,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328955,Poluição sonora,Perturbação do sossego,76,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329603,Poluição sonora,Perturbação do sossego,66,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329659,Poluição sonora,Perturbação do sossego,52,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328925,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329258,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328048,Poluição sonora,Perturbação do sossego,125,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329561,Poluição sonora,Perturbação do sossego,131,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328957,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329615,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328998,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329482,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328534,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329774,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329741,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18327808,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328873,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329041,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329593,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329577,Poluição sonora,Perturbação do sossego,121,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329586,Poluição sonora,Perturbação do sossego,121,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329661,Poluição sonora,Perturbação do sossego,144,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333161,Poluição sonora,Perturbação do sossego,124,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330875,Poluição sonora,Perturbação do sossego,35,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331154,Poluição sonora,Perturbação do sossego,36,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330384,Poluição sonora,Perturbação do sossego,35,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330967,Poluição sonora,Perturbação do sossego,24,Encerrado,Não atendido,Sem possibilidade de atendimento
